,Account,Date,Text,Compound Score,Positive Score,Negative Score,Neutral Score
0,BBCBreaking,06/03/2018,"A minute's silence falls across the UK as the victims of the #LondonBridge terror attack are remembered, one year o… https://t.co/jJPzEmXsNq",-0.8316,0.0,0.341,0.659
1,BBCBreaking,06/03/2018,Armed police cordon off Berlin Cathedral after an officer reportedly shot a man at the building https://t.co/DdbPH9rZVJ,0.0,0.0,0.0,1.0
2,BBCBreaking,06/01/2018,"Visa says cardholders should now be able to use their cards, with systems operating at ""close to normal"" levels, bl… https://t.co/tUahgaGGr0",0.0,0.0,0.0,1.0
3,BBCBreaking,06/01/2018,"Donald Trump's summit with Kim Jong-un on 12 June is back on, the US president says, a week after it was scrapped https://t.co/WfevC3zR8i",0.0,0.0,0.0,1.0
4,BBCBreaking,06/01/2018,Visa says some card payments are currently failing across the UK and elsewhere in Europe https://t.co/3IJ9nksdEc,-0.5106,0.0,0.18,0.82
5,BBCBreaking,06/01/2018,"Five big cats which escaped from a zoo in western Germany have been recaptured, reportedly with the help of a drone https://t.co/g32tKvh2qT",0.4019,0.124,0.0,0.876
6,BBCBreaking,06/01/2018,"Two lions, two tigers and a jaguar escape from a German zoo, with public warned to stay indoors, police say https://t.co/qUowA6ZZ4a",-0.1027,0.082,0.101,0.817
7,BBCBreaking,06/01/2018,"Spain's prime minister is forced out of his job, losing a no-confidence vote triggered by a corruption scandal https://t.co/T6sskEuPSj",-0.8176,0.0,0.378,0.622
8,BBCBreaking,05/31/2018,"Talks on summit between Trump and Kim Jong-un ""moving in the right direction"", secretary of state Mike Pompeo says https://t.co/PnxigeVi40",0.0,0.0,0.0,1.0
9,BBCBreaking,05/31/2018,"The US to put tariffs on steel and aluminium made by key allies, a move France says is ""unjustifiable and dangerous"" https://t.co/RuuMpmGgNJ",-0.4767,0.0,0.134,0.866
10,BBCBreaking,05/31/2018,"RT @BBCSport: Zinedine Zidane says he is stepping down as Real Madrid boss, just five days after leading them to a third straight Champions…",0.2263,0.079,0.0,0.921
11,BBCBreaking,05/31/2018,"Lithuania and Romania assisted CIA torture of al-Qaeda suspects, European Court of Human Rights rules https://t.co/VdnWsfigYS",-0.743,0.0,0.31,0.69
12,BBCBreaking,05/30/2018,"The moment Russian journalist Arkady Babchenko, who had been reported dead yesterday, appeared at a press conferenc… https://t.co/iHb6Rc1NCY",-0.6486,0.0,0.212,0.788
13,BBCBreaking,05/30/2018,"""Assassination"" of journalist Arkady Babchenko was ""staged to expose Russian agents"", says head of Ukraine's securi… https://t.co/SPcn5LgkRh",-0.1531,0.0,0.091,0.909
14,BBCBreaking,05/30/2018,"Russian journalist Arkady Babchenko, reportedly assassinated in Kiev on Tuesday, appears on TV alive and well https://t.co/Jq3liX4P2o",0.5719,0.239,0.0,0.761
15,BBCBreaking,05/29/2018,"""Abhorrent, repugnant"" - and cancelled. ABC drops Roseanne's show after star's racist tweet about an Obama aide https://t.co/2eutMyKysP",-0.7184,0.0,0.286,0.714
16,BBCBreaking,05/29/2018,"Hurricane Maria killed 4,600 people in Puerto Rico, 70 times the official toll - Harvard study https://t.co/3HplA9VkAB",-0.6705,0.0,0.231,0.769
17,BBCBreaking,05/29/2018,"Two police officers killed by gunman in Liège were both women, city's mayor confirms
https://t.co/WyTQaq20ss",-0.6705,0.0,0.243,0.757
18,BBCBreaking,05/29/2018,"Belgian authorities confirm they are treating the attack in Liège as terrorism 
https://t.co/d4uJcconBF",-0.8271,0.0,0.412,0.588
19,BBCBreaking,05/29/2018,"Two police officers shot dead in eastern Belgian city of Liège, senate chief says, with reports attacker is killed https://t.co/FTmHJQ5V71",-0.926,0.0,0.424,0.576
20,BBCBreaking,05/28/2018,Murder investigation launched after man was killed and several more injured when car hit people near Stockport club https://t.co/raUxSrvGY7,-0.9134,0.052,0.425,0.523
21,BBCBreaking,05/28/2018,"Man in his 80s dies after vehicle submerged in flood water in Walsall, police say https://t.co/8hmZZR6Ifh",0.0,0.0,0.0,1.0
22,BBCBreaking,05/28/2018,"Man arrested on suspicion of murder of woman, 31, and girl, 11, in Gloucester https://t.co/5W9CiZIqiz",-0.886,0.0,0.464,0.536
23,BBCBreaking,05/28/2018,"After his dramatic rescue of a young boy from a Paris balcony, Malian migrant Mamoudou Gassama is made a French cit… https://t.co/ki7aWgGtPQ",0.5106,0.155,0.0,0.845
24,BBCBreaking,05/27/2018,Italy PM-designate Guiseppe Conte gives up bid to form government amid reports president vetoed economy pick https://t.co/AbEoT2SdF0,0.0,0.0,0.0,1.0
25,BBCBreaking,05/26/2018,"RT @BBCSport: 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆

It's heartbreak for Liverpool as Real Madrid win their 13th Champions League title.

FT 3-1

https://t.co/Hr5J…",0.5423,0.268,0.138,0.595
